ROUND(ply/10)*10,numcaptures,Skill
0.0,1322,Bad
0.0,140,Good
10.0,6674,Bad
10.0,1436,Good
20.0,12024,Bad
20.0,4750,Good
30.0,18865,Bad
30.0,10605,Good
40.0,24178,Bad
40.0,17896,Good
50.0,24765,Bad
50.0,23915,Good
60.0,19669,Bad
60.0,23666,Good
70.0,13692,Bad
70.0,18583,Good
80.0,9446,Bad
80.0,12930,Good
90.0,6941,Bad
90.0,8861,Good
100.0,5148,Bad
100.0,6391,Good
110.0,3899,Bad
110.0,4939,Good
120.0,2779,Bad
120.0,3621,Good
130.0,1916,Bad
130.0,2448,Good
140.0,1186,Bad
140.0,1530,Good
150.0,692,Bad
150.0,824,Good
160.0,420,Bad
160.0,400,Good
170.0,244,Bad
170.0,220,Good
180.0,136,Bad
180.0,100,Good
190.0,84,Bad
190.0,54,Good
200.0,50,Bad
200.0,29,Good
210.0,29,Bad
210.0,21,Good
220.0,12,Bad
220.0,5,Good
230.0,11,Bad
230.0,8,Good
240.0,6,Bad
240.0,5,Good
250.0,6,Bad
250.0,3,Good
260.0,1,Bad
260.0,1,Good
280.0,1,Good
290.0,1,Bad
