MoveNumber,numcaptures,Skill
0.0,356229,Bad
0.0,415105,Good
10.0,949787,Bad
10.0,846837,Good
20.0,1080879,Bad
20.0,1201433,Good
30.0,1003707,Bad
30.0,1320060,Good
40.0,814842,Bad
40.0,1236620,Good
50.0,569691,Bad
50.0,1014261,Good
60.0,354012,Bad
60.0,742927,Good
70.0,210854,Bad
70.0,506142,Good
80.0,123735,Bad
80.0,328254,Good
90.0,71036,Bad
90.0,203732,Good
100.0,39766,Bad
100.0,116249,Good
110.0,21424,Bad
110.0,61115,Good
120.0,10382,Bad
120.0,28845,Good
130.0,4895,Bad
130.0,13518,Good
140.0,2334,Bad
140.0,5911,Good
150.0,1023,Bad
150.0,2707,Good
160.0,516,Bad
160.0,1216,Good
170.0,269,Bad
170.0,589,Good
180.0,148,Bad
180.0,325,Good
190.0,64,Bad
190.0,199,Good
200.0,37,Bad
200.0,98,Good
210.0,12,Bad
210.0,62,Good
220.0,7,Bad
220.0,28,Good
230.0,2,Bad
230.0,12,Good
240.0,6,Bad
240.0,8,Good
250.0,3,Bad
250.0,6,Good
260.0,8,Good
270.0,2,Good
