piece,COUNT(*),avgrating
bishop,1398,800
bishop,25747,1000
bishop,112631,1200
bishop,200170,1400
bishop,175416,1600
bishop,86238,1800
bishop,26045,2000
bishop,5493,2200
bishop,400,2400
bishop,39,2600
king,11949,800
king,217508,1000
king,1052081,1200
king,2144121,1400
king,2060337,1600
king,1052621,1800
king,327647,2000
king,70030,2200
king,5669,2400
king,470,2600
knight,960,800
knight,18768,1000
knight,87701,1200
knight,163077,1400
knight,141378,1600
knight,63786,1800
knight,17897,2000
knight,3781,2200
knight,266,2400
knight,14,2600
pawn,1248,800
pawn,24166,1000
pawn,107536,1200
pawn,208599,1400
pawn,189779,1600
pawn,89304,1800
pawn,26223,2000
pawn,5367,2200
pawn,430,2400
pawn,18,2600
queen,849,800
queen,17380,1000
queen,92850,1200
queen,204139,1400
queen,204230,1600
queen,100888,1800
queen,30552,2000
queen,6296,2200
queen,522,2400
queen,49,2600
rook,685,800
rook,14498,1000
rook,84149,1200
rook,192890,1400
rook,200577,1600
rook,102340,1800
rook,31112,2000
rook,6731,2200
rook,566,2400
rook,53,2600
