avgrating,piece,nummoves
800,bishop,25660
1000,bishop,525123
1200,bishop,2985554
1400,bishop,7077563
1600,bishop,7385880
1800,bishop,3853123
2000,bishop,1200817
2200,bishop,261272
2400,bishop,21720
2600,bishop,1927
800,king,21920
1000,king,432327
1200,king,2424364
1400,king,5682040
1600,king,6107000
1800,king,3292816
2000,king,1073451
2200,king,232634
2400,king,19787
2600,king,1549
800,knight,31628
1000,knight,632255
1200,knight,3465038
1400,knight,8075417
1600,knight,8432892
1800,knight,4418759
2000,knight,1369488
2200,knight,297540
2400,knight,24939
2600,knight,2095
800,pawn,50495
1000,pawn,980648
1200,pawn,5470345
1400,pawn,12967796
1600,pawn,13732161
1800,pawn,7227935
2000,pawn,2250597
2200,pawn,485467
2400,pawn,40133
2600,pawn,3338
800,queen,24110
1000,queen,463893
1200,queen,2470366
1400,queen,5581474
1600,queen,5742506
1800,queen,2979386
2000,queen,927534
2200,queen,201480
2400,queen,16397
2600,queen,1431
800,rook,19131
1000,rook,401424
1200,rook,2478999
1400,rook,6146980
1600,rook,6773916
1800,rook,3690163
2000,rook,1209551
2200,rook,274963
2400,rook,23726
2600,rook,2239
