piece,capturedpiece,COUNT(*),Skill
bishop,bishop,244694,Bad
bishop,bishop,362162,Good
bishop,knight,351443,Bad
bishop,knight,469005,Good
bishop,pawn,349939,Bad
bishop,pawn,413694,Good
bishop,queen,57230,Bad
bishop,queen,58734,Good
bishop,rook,95973,Bad
bishop,rook,120102,Good
king,bishop,57189,Bad
king,bishop,84371,Good
king,knight,42867,Bad
king,knight,42996,Good
king,pawn,88485,Bad
king,pawn,174545,Good
king,queen,34203,Bad
king,queen,43227,Good
king,rook,50074,Bad
king,rook,83140,Good
knight,bishop,192043,Bad
knight,bishop,254066,Good
knight,knight,226471,Bad
knight,knight,385749,Good
knight,pawn,439221,Bad
knight,pawn,536372,Good
knight,queen,62405,Bad
knight,queen,60109,Good
knight,rook,86021,Bad
knight,rook,93989,Good
pawn,bishop,210493,Bad
pawn,bishop,274749,Good
pawn,knight,188076,Bad
pawn,knight,281796,Good
pawn,pawn,937733,Bad
pawn,pawn,1619392,Good
pawn,queen,34157,Bad
pawn,queen,58111,Good
pawn,rook,27274,Bad
pawn,rook,65343,Good
queen,bishop,169014,Bad
queen,bishop,202876,Good
queen,knight,154267,Bad
queen,knight,171617,Good
queen,pawn,436315,Bad
queen,pawn,450495,Good
queen,queen,157425,Bad
queen,queen,243898,Good
queen,rook,107185,Bad
queen,rook,130605,Good
rook,bishop,110267,Bad
rook,bishop,165574,Good
rook,knight,89398,Bad
rook,knight,141147,Good
rook,pawn,322751,Bad
rook,pawn,480818,Good
rook,queen,67395,Bad
rook,queen,115608,Good
rook,rook,225652,Bad
rook,rook,461979,Good
